# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_008330805.1	Primary Assembly	chromosome		NZ_CP021520.1	1	1557	+					dnaA	61280603	CCD84_RS00010	1557		old_locus_tag=CCD84_00005
CDS	with_protein	GCF_008330805.1	Primary Assembly	chromosome		NZ_CP021520.1	1	1557	+	WP_002223060.1	WP_002223060.1		chromosomal replication initiator protein DnaA	dnaA	61280603	CCD84_RS00010	1557	518	
gene	protein_coding	GCF_008330805.1	Primary Assembly	chromosome		NZ_CP021520.1	1792	2895	+					dnaN	61280604	CCD84_RS00015	1104		old_locus_tag=CCD84_00010
CDS	with_protein	GCF_008330805.1	Primary Assembly	chromosome		NZ_CP021520.1	1792	2895	+	WP_002223059.1	WP_002223059.1		DNA polymerase III subunit beta	dnaN	61280604	CCD84_RS00015	1104	367	
gene	pseudogene	GCF_008330805.1	Primary Assembly	chromosome		NZ_CP021520.1	3135	3674	-						61280605	CCD84_RS00020	540		partial;pseudo;old_locus_tag=CCD84_00015
CDS	without_protein	GCF_008330805.1	Primary Assembly	chromosome		NZ_CP021520.1	3135	3674	-				IS1595-like element IS1016C family transposase		61280605	CCD84_RS00020	540		partial;pseudo
gene	protein_coding	GCF_008330805.1	Primary Assembly	chromosome		NZ_CP021520.1	3907	5964	-					ppk1	61280606	CCD84_RS00025	2058		old_locus_tag=CCD84_00020
CDS	with_protein	GCF_008330805.1	Primary Assembly	chromosome		NZ_CP021520.1	3907	5964	-	WP_002229932.1	WP_002229932.1		polyphosphate kinase 1	ppk1	61280606	CCD84_RS00025	2058	685	
gene	protein_coding	GCF_008330805.1	Primary Assembly	chromosome		NZ_CP021520.1	6133	6576	-						61280607	CCD84_RS00030	444		old_locus_tag=CCD84_00025
CDS	with_protein	GCF_008330805.1	Primary Assembly	chromosome		NZ_CP021520.1	6133	6576	-	WP_002229931.1	WP_002229931.1		hypothetical protein		61280607	CCD84_RS00030	444	147	
gene	protein_coding	GCF_008330805.1	Primary Assembly	chromosome		NZ_CP021520.1	6583	7098	-						61280608	CCD84_RS00035	516		old_locus_tag=CCD84_00030
CDS	with_protein	GCF_008330805.1	Primary Assembly	chromosome		NZ_CP021520.1	6583	7098	-	WP_002229933.1	WP_002229933.1		outer membrane protein assembly factor BamE		61280608	CCD84_RS00035	516	171	
gene	protein_coding	GCF_008330805.1	Primary Assembly	chromosome		NZ_CP021520.1	7365	9995	+					leuS	61280609	CCD84_RS00045	2631		old_locus_tag=CCD84_00040
CDS	with_protein	GCF_008330805.1	Primary Assembly	chromosome		NZ_CP021520.1	7365	9995	+	WP_002259996.1	WP_002259996.1		leucine--tRNA ligase	leuS	61280609	CCD84_RS00045	2631	876	
gene	protein_coding	GCF_008330805.1	Primary Assembly	chromosome		NZ_CP021520.1	10230	11042	+						61280610	CCD84_RS00050	813		old_locus_tag=CCD84_00045
CDS	with_protein	GCF_008330805.1	Primary Assembly	chromosome		NZ_CP021520.1	10230	11042	+	WP_002230129.1	WP_002230129.1		Dam family site-specific DNA-(adenine-N6)-methyltransferase		61280610	CCD84_RS00050	813	270	
gene	protein_coding	GCF_008330805.1	Primary Assembly	chromosome		NZ_CP021520.1	11035	11844	+						61280611	CCD84_RS00055	810		old_locus_tag=CCD84_00050
CDS	with_protein	GCF_008330805.1	Primary Assembly	chromosome		NZ_CP021520.1	11035	11844	+	WP_002230118.1	WP_002230118.1		site-specific DNA-methyltransferase		61280611	CCD84_RS00055	810	269	
gene	protein_coding	GCF_008330805.1	Primary Assembly	chromosome		NZ_CP021520.1	11841	12395	+						61280612	CCD84_RS00060	555		old_locus_tag=CCD84_00055
CDS	with_protein	GCF_008330805.1	Primary Assembly	chromosome		NZ_CP021520.1	11841	12395	+	WP_002258360.1	WP_002258360.1		hypothetical protein		61280612	CCD84_RS00060	555	184	
gene	protein_coding	GCF_008330805.1	Primary Assembly	chromosome		NZ_CP021520.1	13270	13581	-						61280613	CCD84_RS00075	312		old_locus_tag=CCD84_00075
CDS	with_protein	GCF_008330805.1	Primary Assembly	chromosome		NZ_CP021520.1	13270	13581	-	WP_002218002.1	WP_002218002.1		DNA-binding transcriptional regulator		61280613	CCD84_RS00075	312	103	
gene	protein_coding	GCF_008330805.1	Primary Assembly	chromosome		NZ_CP021520.1	13578	13679	-						71771318	CCD84_RS12570	102		
CDS	with_protein	GCF_008330805.1	Primary Assembly	chromosome		NZ_CP021520.1	13578	13679	-	WP_228775986.1	WP_228775986.1		hypothetical protein		71771318	CCD84_RS12570	102	33	
gene	protein_coding	GCF_008330805.1	Primary Assembly	chromosome		NZ_CP021520.1	13643	13945	-						61280614	CCD84_RS00080	303		old_locus_tag=CCD84_00080
CDS	with_protein	GCF_008330805.1	Primary Assembly	chromosome		NZ_CP021520.1	13643	13945	-	WP_002229923.1	WP_002229923.1		type II toxin-antitoxin system RelE/ParE family toxin		61280614	CCD84_RS00080	303	100	
gene	tRNA	GCF_008330805.1	Primary Assembly	chromosome		NZ_CP021520.1	14749	14834	-						61280615	CCD84_RS00090	86		old_locus_tag=CCD84_00090
tRNA		GCF_008330805.1	Primary Assembly	chromosome		NZ_CP021520.1	14749	14834	-				tRNA-Leu		61280615	CCD84_RS00090	86		anticodon=GAG
gene	protein_coding	GCF_008330805.1	Primary Assembly	chromosome		NZ_CP021520.1	14848	15198	-					secG	61280616	CCD84_RS00095	351		old_locus_tag=CCD84_00095
CDS	with_protein	GCF_008330805.1	Primary Assembly	chromosome		NZ_CP021520.1	14848	15198	-	WP_002214678.1	WP_002214678.1		preprotein translocase subunit SecG	secG	61280616	CCD84_RS00095	351	116	
gene	protein_coding	GCF_008330805.1	Primary Assembly	chromosome		NZ_CP021520.1	15205	15978	-					tpiA	61280617	CCD84_RS00100	774		old_locus_tag=CCD84_00100
CDS	with_protein	GCF_008330805.1	Primary Assembly	chromosome		NZ_CP021520.1	15205	15978	-	WP_002218000.1	WP_002218000.1		triose-phosphate isomerase	tpiA	61280617	CCD84_RS00100	774	257	
gene	protein_coding	GCF_008330805.1	Primary Assembly	chromosome		NZ_CP021520.1	16138	16665	+						61280618	CCD84_RS00105	528		old_locus_tag=CCD84_00105
CDS	with_protein	GCF_008330805.1	Primary Assembly	chromosome		NZ_CP021520.1	16138	16665	+	WP_033908492.1	WP_033908492.1		GAF domain-containing protein		61280618	CCD84_RS00105	528	175	
gene	protein_coding	GCF_008330805.1	Primary Assembly	chromosome		NZ_CP021520.1	16767	17423	+						61280619	CCD84_RS00110	657		old_locus_tag=CCD84_00110
CDS	with_protein	GCF_008330805.1	Primary Assembly	chromosome		NZ_CP021520.1	16767	17423	+	WP_002229924.1	WP_002229924.1		protein-L-isoaspartate O-methyltransferase		61280619	CCD84_RS00110	657	218	
gene	protein_coding	GCF_008330805.1	Primary Assembly	chromosome		NZ_CP021520.1	17502	17825	+						61280620	CCD84_RS00115	324		old_locus_tag=CCD84_00115
CDS	with_protein	GCF_008330805.1	Primary Assembly	chromosome		NZ_CP021520.1	17502	17825	+	WP_002217997.1	WP_002217997.1		rhodanese-like domain-containing protein		61280620	CCD84_RS00115	324	107	
gene	protein_coding	GCF_008330805.1	Primary Assembly	chromosome		NZ_CP021520.1	18266	19231	-						61280621	CCD84_RS00125	966		old_locus_tag=CCD84_00125
CDS	with_protein	GCF_008330805.1	Primary Assembly	chromosome		NZ_CP021520.1	18266	19231	-	WP_002216744.1	WP_002216744.1		IS30 family transposase		61280621	CCD84_RS00125	966	321	
