# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_014055025.1	Primary Assembly	chromosome		NZ_CP059571.1	2492607	113	+							H3L91_RS00005	219		old_locus_tag=H3L91_00005
CDS	with_protein	GCF_014055025.1	Primary Assembly	chromosome		NZ_CP059571.1	2492607	113	+	WP_007341295.1	WP_007341295.1		hypothetical protein			H3L91_RS00005	219	72	
gene	protein_coding	GCF_014055025.1	Primary Assembly	chromosome		NZ_CP059571.1	110	1627	+					dnaA		H3L91_RS00010	1518		old_locus_tag=H3L91_00010
CDS	with_protein	GCF_014055025.1	Primary Assembly	chromosome		NZ_CP059571.1	110	1627	+	WP_040659243.1	WP_040659243.1		chromosomal replication initiator protein DnaA	dnaA		H3L91_RS00010	1518	505	
gene	protein_coding	GCF_014055025.1	Primary Assembly	chromosome		NZ_CP059571.1	1716	2819	+					dnaN		H3L91_RS00015	1104		old_locus_tag=H3L91_00015
CDS	with_protein	GCF_014055025.1	Primary Assembly	chromosome		NZ_CP059571.1	1716	2819	+	WP_007341297.1	WP_007341297.1		DNA polymerase III subunit beta	dnaN		H3L91_RS00015	1104	367	
gene	protein_coding	GCF_014055025.1	Primary Assembly	chromosome		NZ_CP059571.1	2905	3129	+							H3L91_RS00020	225		old_locus_tag=H3L91_00020
CDS	with_protein	GCF_014055025.1	Primary Assembly	chromosome		NZ_CP059571.1	2905	3129	+	WP_007341298.1	WP_007341298.1		exodeoxyribonuclease VII small subunit			H3L91_RS00020	225	74	
gene	protein_coding	GCF_014055025.1	Primary Assembly	chromosome		NZ_CP059571.1	3119	4012	+							H3L91_RS00025	894		old_locus_tag=H3L91_00025
CDS	with_protein	GCF_014055025.1	Primary Assembly	chromosome		NZ_CP059571.1	3119	4012	+	WP_007341299.1	WP_007341299.1		polyprenyl synthetase family protein			H3L91_RS00025	894	297	
gene	protein_coding	GCF_014055025.1	Primary Assembly	chromosome		NZ_CP059571.1	4539	5012	-							H3L91_RS00030	474		old_locus_tag=H3L91_00030
CDS	with_protein	GCF_014055025.1	Primary Assembly	chromosome		NZ_CP059571.1	4539	5012	-	WP_007341301.1	WP_007341301.1		TlpA family protein disulfide reductase			H3L91_RS00030	474	157	
